DATE,DGS6MO
2020-02-21,1.53
2020-02-24,1.49
2020-02-25,1.47
2020-02-26,1.42
2020-02-27,1.33
2020-02-28,1.11
2020-03-02,0.95
2020-03-03,0.83
2020-03-04,0.68
2020-03-05,0.53
2020-03-06,0.41
2020-03-09,0.27
2020-03-10,0.43
2020-03-11,0.40
2020-03-12,0.37
2020-03-13,0.38
2020-03-16,0.29
2020-03-17,0.24
2020-03-18,0.08
2020-03-19,0.06
2020-03-20,0.05
2020-03-23,0.08
2020-03-24,0.09
2020-03-25,0.07
2020-03-26,0.04
