DATE,DGS20
2015-03-26,2.37
2015-03-27,2.29
2015-03-30,2.32
2015-03-31,2.31
2015-04-01,2.23
2015-04-02,2.29
2015-04-03,2.24
2015-04-06,2.31
2015-04-07,2.27
2015-04-08,2.28
2015-04-09,2.35
2015-04-10,2.33
2015-04-13,2.33
2015-04-14,2.29
2015-04-15,2.30
2015-04-16,2.31
2015-04-17,2.26
2015-04-20,2.31
2015-04-21,2.33
2015-04-22,2.42
2015-04-23,2.38
2015-04-24,2.36
2015-04-27,2.36
2015-04-28,2.42
2015-04-29,2.49
2015-04-30,2.49
2015-05-01,2.57
2015-05-04,2.62
2015-05-05,2.64
2015-05-06,2.72
2015-05-07,2.63
2015-05-08,2.63
2015-05-11,2.76
2015-05-12,2.75
2015-05-13,2.79
2015-05-14,2.76
2015-05-15,2.66
2015-05-18,2.75
2015-05-19,2.79
2015-05-20,2.79
2015-05-21,2.71
2015-05-22,2.73
2015-05-25,.
2015-05-26,2.64
2015-05-27,2.63
2015-05-28,2.64
2015-05-29,2.63
2015-06-01,2.69
2015-06-02,2.77
2015-06-03,2.87
2015-06-04,2.78
2015-06-05,2.87
2015-06-08,2.86
2015-06-09,2.89
2015-06-10,2.96
2015-06-11,2.84
2015-06-12,2.84
2015-06-15,2.83
2015-06-16,2.79
2015-06-17,2.82
2015-06-18,2.86
2015-06-19,2.76
2015-06-22,2.87
2015-06-23,2.92
2015-06-24,2.87
2015-06-25,2.88
2015-06-26,2.98
2015-06-29,2.82
2015-06-30,2.83
2015-07-01,2.92
2015-07-02,2.90
2015-07-03,.
2015-07-06,2.78
2015-07-07,2.74
2015-07-08,2.69
2015-07-09,2.80
2015-07-10,2.91
2015-07-13,2.92
2015-07-14,2.90
2015-07-15,2.83
2015-07-16,2.81
2015-07-17,2.77
2015-07-20,2.79
2015-07-21,2.77
2015-07-22,2.73
2015-07-23,2.67
2015-07-24,2.67
2015-07-27,2.64
2015-07-28,2.66
2015-07-29,2.69
2015-07-30,2.66
2015-07-31,2.61
2015-08-03,2.55
2015-08-04,2.59
2015-08-05,2.64
2015-08-06,2.59
2015-08-07,2.52
2015-08-10,2.58
2015-08-11,2.50
2015-08-12,2.52
2015-08-13,2.54
2015-08-14,2.54
2015-08-17,2.51
2015-08-18,2.56
2015-08-19,2.49
2015-08-20,2.45
2015-08-21,2.44
2015-08-24,2.42
2015-08-25,2.54
2015-08-26,2.64
2015-08-27,2.61
2015-08-28,2.61
2015-08-31,2.64
2015-09-01,2.62
2015-09-02,2.66
2015-09-03,2.64
2015-09-04,2.58
2015-09-07,.
2015-09-08,2.66
2015-09-09,2.64
2015-09-10,2.66
2015-09-11,2.63
2015-09-14,2.62
2015-09-15,2.73
2015-09-16,2.75
2015-09-17,2.69
2015-09-18,2.58
2015-09-21,2.67
2015-09-22,2.60
2015-09-23,2.60
2015-09-24,2.55
2015-09-25,2.60
2015-09-28,2.51
2015-09-29,2.48
2015-09-30,2.51
2015-10-01,2.49
2015-10-02,2.44
2015-10-05,2.52
2015-10-06,2.50
2015-10-07,2.51
2015-10-08,2.56
2015-10-09,2.55
2015-10-12,.
2015-10-13,2.49
2015-10-14,2.42
2015-10-15,2.46
2015-10-16,2.46
2015-10-19,2.48
2015-10-20,2.53
2015-10-21,2.48
