DATE,DGS30
2015-03-26,2.60
2015-03-27,2.53
2015-03-30,2.55
2015-03-31,2.54
2015-04-01,2.47
2015-04-02,2.53
2015-04-03,2.49
2015-04-06,2.57
2015-04-07,2.52
2015-04-08,2.53
2015-04-09,2.61
2015-04-10,2.58
2015-04-13,2.58
2015-04-14,2.54
2015-04-15,2.55
2015-04-16,2.56
2015-04-17,2.51
2015-04-20,2.56
2015-04-21,2.58
2015-04-22,2.66
2015-04-23,2.63
2015-04-24,2.62
2015-04-27,2.61
2015-04-28,2.68
2015-04-29,2.76
2015-04-30,2.75
2015-05-01,2.82
2015-05-04,2.88
2015-05-05,2.90
2015-05-06,2.98
2015-05-07,2.90
2015-05-08,2.90
2015-05-11,3.03
2015-05-12,3.02
2015-05-13,3.07
2015-05-14,3.03
2015-05-15,2.93
2015-05-18,3.02
2015-05-19,3.05
2015-05-20,3.06
2015-05-21,2.98
2015-05-22,2.99
2015-05-25,.
2015-05-26,2.89
2015-05-27,2.88
2015-05-28,2.89
2015-05-29,2.88
2015-06-01,2.94
2015-06-02,3.02
2015-06-03,3.11
2015-06-04,3.03
2015-06-05,3.11
2015-06-08,3.11
2015-06-09,3.15
2015-06-10,3.22
2015-06-11,3.11
2015-06-12,3.10
2015-06-15,3.09
2015-06-16,3.06
2015-06-17,3.09
2015-06-18,3.14
2015-06-19,3.05
2015-06-22,3.16
2015-06-23,3.20
2015-06-24,3.16
2015-06-25,3.16
2015-06-26,3.25
2015-06-29,3.09
2015-06-30,3.11
2015-07-01,3.20
2015-07-02,3.19
2015-07-03,.
2015-07-06,3.08
2015-07-07,3.04
2015-07-08,2.99
2015-07-09,3.11
2015-07-10,3.20
2015-07-13,3.21
2015-07-14,3.20
2015-07-15,3.13
2015-07-16,3.11
2015-07-17,3.08
2015-07-20,3.10
2015-07-21,3.08
2015-07-22,3.04
2015-07-23,2.98
2015-07-24,2.96
2015-07-27,2.93
2015-07-28,2.96
2015-07-29,2.99
2015-07-30,2.96
2015-07-31,2.92
2015-08-03,2.86
2015-08-04,2.90
2015-08-05,2.94
2015-08-06,2.90
2015-08-07,2.83
2015-08-10,2.89
2015-08-11,2.81
2015-08-12,2.84
2015-08-13,2.86
2015-08-14,2.84
2015-08-17,2.81
2015-08-18,2.87
2015-08-19,2.81
2015-08-20,2.76
2015-08-21,2.74
2015-08-24,2.73
2015-08-25,2.84
2015-08-26,2.94
2015-08-27,2.93
2015-08-28,2.92
2015-08-31,2.95
2015-09-01,2.93
2015-09-02,2.97
2015-09-03,2.95
2015-09-04,2.89
2015-09-07,.
2015-09-08,2.97
2015-09-09,2.96
2015-09-10,2.98
2015-09-11,2.95
2015-09-14,2.95
2015-09-15,3.06
2015-09-16,3.08
2015-09-17,3.02
2015-09-18,2.93
2015-09-21,3.02
2015-09-22,2.94
2015-09-23,2.95
2015-09-24,2.91
2015-09-25,2.96
2015-09-28,2.87
2015-09-29,2.85
2015-09-30,2.87
2015-10-01,2.85
2015-10-02,2.82
2015-10-05,2.90
2015-10-06,2.88
2015-10-07,2.89
2015-10-08,2.96
2015-10-09,2.94
2015-10-12,.
2015-10-13,2.89
2015-10-14,2.84
2015-10-15,2.87
2015-10-16,2.87
2015-10-19,2.89
2015-10-20,2.92
2015-10-21,2.87
2015-10-22,2.87
2015-10-23,2.90
2015-10-26,2.87
2015-10-27,2.86
2015-10-28,2.87
2015-10-29,2.96
2015-10-30,2.93
2015-11-02,2.95
2015-11-03,3.00
2015-11-04,3.00
2015-11-05,3.01
2015-11-06,3.09
2015-11-09,3.12
2015-11-10,3.10
2015-11-11,.
2015-11-12,3.09
2015-11-13,3.06
2015-11-16,3.07
2015-11-17,3.04
2015-11-18,3.04
2015-11-19,3.00
2015-11-20,3.02
2015-11-23,3.00
2015-11-24,3.00
2015-11-25,3.00
2015-11-26,.
2015-11-27,3.00
2015-11-30,2.98
2015-12-01,2.91
2015-12-02,2.91
2015-12-03,3.07
2015-12-04,3.01
2015-12-07,2.95
2015-12-08,2.97
2015-12-09,2.97
2015-12-10,2.98
2015-12-11,2.87
2015-12-14,2.96
2015-12-15,3.00
2015-12-16,3.02
2015-12-17,2.94
2015-12-18,2.90
2015-12-21,2.92
2015-12-22,2.96
2015-12-23,3.00
2015-12-24,2.96
2015-12-25,.
2015-12-28,2.95
2015-12-29,3.04
2015-12-30,3.04
2015-12-31,3.01
2016-01-01,.
2016-01-04,2.98
2016-01-05,3.01
2016-01-06,2.94
2016-01-07,2.92
2016-01-08,2.91
2016-01-11,2.96
2016-01-12,2.89
2016-01-13,2.85
2016-01-14,2.90
2016-01-15,2.81
2016-01-18,.
2016-01-19,2.82
2016-01-20,2.77
2016-01-21,2.79
2016-01-22,2.83
2016-01-25,2.80
2016-01-26,2.79
2016-01-27,2.80
2016-01-28,2.79
2016-01-29,2.75
2016-02-01,2.77
2016-02-02,2.67
2016-02-03,2.70
2016-02-04,2.70
2016-02-05,2.68
2016-02-08,2.56
2016-02-09,2.55
2016-02-10,2.53
2016-02-11,2.50
2016-02-12,2.60
2016-02-15,.
2016-02-16,2.64
2016-02-17,2.68
2016-02-18,2.62
2016-02-19,2.61
2016-02-22,2.62
2016-02-23,2.60
2016-02-24,2.61
2016-02-25,2.58
2016-02-26,2.63
2016-02-29,2.61
2016-03-01,2.70
2016-03-02,2.69
2016-03-03,2.65
2016-03-04,2.70
2016-03-07,2.71
2016-03-08,2.63
2016-03-09,2.68
2016-03-10,2.70
2016-03-11,2.75
2016-03-14,2.74
2016-03-15,2.73
2016-03-16,2.73
2016-03-17,2.69
2016-03-18,2.68
2016-03-21,2.72
2016-03-22,2.72
2016-03-23,2.65
2016-03-24,2.67
2016-03-25,.
2016-03-28,2.66
2016-03-29,2.60
2016-03-30,2.65
2016-03-31,2.61
2016-04-01,2.62
2016-04-04,2.60
2016-04-05,2.54
2016-04-06,2.58
2016-04-07,2.52
2016-04-08,2.55
2016-04-11,2.56
2016-04-12,2.61
2016-04-13,2.58
2016-04-14,2.61
2016-04-15,2.56
2016-04-18,2.58
2016-04-19,2.60
2016-04-20,2.66
2016-04-21,2.69
2016-04-22,2.70
2016-04-25,2.72
2016-04-26,2.76
2016-04-27,2.71
2016-04-28,2.68
2016-04-29,2.66
2016-05-02,2.71
2016-05-03,2.66
2016-05-04,2.64
2016-05-05,2.60
2016-05-06,2.62
2016-05-09,2.61
2016-05-10,2.61
2016-05-11,2.58
2016-05-12,2.60
2016-05-13,2.55
2016-05-16,2.59
2016-05-17,2.59
2016-05-18,2.67
2016-05-19,2.64
2016-05-20,2.63
2016-05-23,2.63
2016-05-24,2.65
2016-05-25,2.67
2016-05-26,2.64
2016-05-27,2.65
2016-05-30,.
2016-05-31,2.64
2016-06-01,2.63
2016-06-02,2.58
2016-06-03,2.52
2016-06-06,2.55
2016-06-07,2.54
2016-06-08,2.51
2016-06-09,2.48
2016-06-10,2.44
2016-06-13,2.43
2016-06-14,2.43
2016-06-15,2.43
2016-06-16,2.39
2016-06-17,2.43
2016-06-20,2.47
2016-06-21,2.50
2016-06-22,2.50
2016-06-23,2.55
2016-06-24,2.42
2016-06-27,2.28
2016-06-28,2.27
2016-06-29,2.30
2016-06-30,2.30
2016-07-01,2.24
2016-07-04,.
2016-07-05,2.14
2016-07-06,2.14
2016-07-07,2.14
2016-07-08,2.11
2016-07-11,2.14
2016-07-12,2.24
2016-07-13,2.18
2016-07-14,2.25
2016-07-15,2.30
2016-07-18,2.30
2016-07-19,2.27
2016-07-20,2.30
2016-07-21,2.29
2016-07-22,2.29
2016-07-25,2.29
2016-07-26,2.28
2016-07-27,2.23
2016-07-28,2.23
2016-07-29,2.18
2016-08-01,2.24
2016-08-02,2.29
2016-08-03,2.29
2016-08-04,2.25
2016-08-05,2.32
2016-08-08,2.30
2016-08-09,2.25
2016-08-10,2.23
2016-08-11,2.28
2016-08-12,2.23
2016-08-15,2.27
2016-08-16,2.29
2016-08-17,2.27
2016-08-18,2.26
2016-08-19,2.29
2016-08-22,2.24
2016-08-23,2.24
2016-08-24,2.24
2016-08-25,2.27
2016-08-26,2.29
2016-08-29,2.22
2016-08-30,2.23
2016-08-31,2.23
2016-09-01,2.23
2016-09-02,2.28
2016-09-05,.
2016-09-06,2.24
2016-09-07,2.23
2016-09-08,2.32
2016-09-09,2.39
2016-09-12,2.40
2016-09-13,2.47
2016-09-14,2.44
2016-09-15,2.48
2016-09-16,2.44
2016-09-19,2.45
2016-09-20,2.43
2016-09-21,2.39
2016-09-22,2.34
2016-09-23,2.34
2016-09-26,2.32
2016-09-27,2.28
2016-09-28,2.29
2016-09-29,2.28
2016-09-30,2.32
2016-10-03,2.34
2016-10-04,2.40
2016-10-05,2.44
2016-10-06,2.46
2016-10-07,2.46
2016-10-10,.
2016-10-11,2.50
2016-10-12,2.51
2016-10-13,2.48
2016-10-14,2.55
2016-10-17,2.52
2016-10-18,2.51
2016-10-19,2.51
2016-10-20,2.50
2016-10-21,2.48
2016-10-24,2.52
2016-10-25,2.50
2016-10-26,2.53
2016-10-27,2.60
2016-10-28,2.62
2016-10-31,2.58
2016-11-01,2.58
2016-11-02,2.56
2016-11-03,2.60
2016-11-04,2.56
2016-11-07,2.60
2016-11-08,2.63
2016-11-09,2.88
2016-11-10,2.94
2016-11-11,.
2016-11-14,2.99
2016-11-15,2.97
2016-11-16,2.92
2016-11-17,3.01
2016-11-18,3.01
2016-11-21,3.00
2016-11-22,3.00
2016-11-23,3.02
2016-11-24,.
2016-11-25,3.01
2016-11-28,2.99
2016-11-29,2.95
2016-11-30,3.02
2016-12-01,3.10
2016-12-02,3.08
2016-12-05,3.05
2016-12-06,3.08
2016-12-07,3.02
2016-12-08,3.10
2016-12-09,3.16
2016-12-12,3.16
2016-12-13,3.14
2016-12-14,3.14
2016-12-15,3.16
2016-12-16,3.19
2016-12-19,3.12
2016-12-20,3.15
2016-12-21,3.12
2016-12-22,3.12
2016-12-23,3.12
2016-12-26,.
2016-12-27,3.14
2016-12-28,3.09
2016-12-29,3.08
2016-12-30,3.06
2017-01-02,.
2017-01-03,3.04
2017-01-04,3.05
2017-01-05,2.96
2017-01-06,3.00
2017-01-09,2.97
2017-01-10,2.97
2017-01-11,2.96
2017-01-12,3.01
2017-01-13,2.99
2017-01-16,.
2017-01-17,2.93
2017-01-18,3.00
2017-01-19,3.04
2017-01-20,3.05
2017-01-23,2.99
2017-01-24,3.05
2017-01-25,3.10
2017-01-26,3.08
2017-01-27,3.06
2017-01-30,3.08
2017-01-31,3.05
2017-02-01,3.08
2017-02-02,3.09
2017-02-03,3.11
2017-02-06,3.05
2017-02-07,3.02
2017-02-08,2.96
2017-02-09,3.02
2017-02-10,3.01
2017-02-13,3.03
2017-02-14,3.07
2017-02-15,3.09
2017-02-16,3.05
2017-02-17,3.03
2017-02-20,.
2017-02-21,3.04
2017-02-22,3.04
2017-02-23,3.02
2017-02-24,2.95
2017-02-27,2.98
2017-02-28,2.97
2017-03-01,3.06
2017-03-02,3.09
2017-03-03,3.08
2017-03-06,3.10
2017-03-07,3.11
2017-03-08,3.15
2017-03-09,3.19
2017-03-10,3.16
2017-03-13,3.20
2017-03-14,3.17
2017-03-15,3.11
2017-03-16,3.14
2017-03-17,3.11
2017-03-20,3.08
2017-03-21,3.04
2017-03-22,3.02
2017-03-23,3.02
2017-03-24,3.00
2017-03-27,2.98
2017-03-28,3.02
2017-03-29,2.99
2017-03-30,3.03
2017-03-31,3.02
2017-04-03,2.98
2017-04-04,2.99
2017-04-05,2.98
2017-04-06,2.99
2017-04-07,3.00
2017-04-10,2.99
2017-04-11,2.93
2017-04-12,2.92
2017-04-13,2.89
2017-04-14,.
2017-04-17,2.92
2017-04-18,2.84
2017-04-19,2.87
2017-04-20,2.89
2017-04-21,2.89
2017-04-24,2.93
2017-04-25,2.99
2017-04-26,2.97
2017-04-27,2.96
2017-04-28,2.96
2017-05-01,3.00
2017-05-02,2.97
2017-05-03,2.97
2017-05-04,3.00
2017-05-05,2.99
2017-05-08,3.02
2017-05-09,3.04
2017-05-10,3.03
2017-05-11,3.03
2017-05-12,2.98
2017-05-15,3.00
2017-05-16,2.99
2017-05-17,2.91
2017-05-18,2.90
2017-05-19,2.90
2017-05-22,2.91
2017-05-23,2.95
2017-05-24,2.92
2017-05-25,2.92
2017-05-26,2.92
2017-05-29,.
2017-05-30,2.88
2017-05-31,2.87
2017-06-01,2.87
2017-06-02,2.80
2017-06-05,2.84
2017-06-06,2.81
2017-06-07,2.84
2017-06-08,2.85
2017-06-09,2.86
2017-06-12,2.86
2017-06-13,2.87
2017-06-14,2.79
2017-06-15,2.78
2017-06-16,2.78
2017-06-19,2.79
2017-06-20,2.74
2017-06-21,2.73
2017-06-22,2.72
2017-06-23,2.71
2017-06-26,2.70
2017-06-27,2.75
2017-06-28,2.77
2017-06-29,2.82
2017-06-30,2.84
2017-07-03,2.86
2017-07-04,.
2017-07-05,2.85
2017-07-06,2.90
2017-07-07,2.93
2017-07-10,2.93
2017-07-11,2.92
2017-07-12,2.89
2017-07-13,2.92
2017-07-14,2.91
2017-07-17,2.89
